strategy,seed,world_mode,rounds,successful_rounds,best_tc_k,best_formula,best_pressure_gpa,elapsed_seconds
ucb+falsify,17,ambient,35,29,135.4017,Ca0.51 H0.49,331.76,0.3004
ucb+falsify,18,ambient,35,35,54.5295,Y0.18 H0.82,135.02,0.3078
ucb+falsify,19,ambient,35,30,139.2765,Ca0.50 H0.50,237.63,0.2974
ucb+falsify,20,ambient,35,30,230.5681,Li0.33 S0.20 H0.47,221.40,0.3008
ucb+falsify,21,ambient,35,30,122.5671,Y0.32 Li0.17 H0.50,424.07,0.3052
ucb+falsify,22,ambient,35,31,45.0440,Y0.01 B0.18 H0.81,378.10,0.3038
ucb+falsify,23,ambient,35,32,269.7734,S0.12 Ce0.39 H0.48,323.83,0.3031
ucb+falsify,24,ambient,35,31,204.7798,Li0.32 S0.25 H0.43,234.11,0.3036
ucb+falsify,25,ambient,35,33,242.0797,S0.27 Ce0.28 H0.45,279.69,0.3025
ucb+falsify,26,ambient,35,30,257.8521,La0.34 S0.17 H0.49,184.42,0.3006
ucb+falsify,27,ambient,35,23,159.2523,S0.31 Li0.26 H0.43,466.98,0.2955
ucb+falsify,28,ambient,35,33,245.2549,Ca0.32 S0.23 H0.45,71.69,0.3004
ucb+falsify,29,ambient,35,27,232.5287,S0.02 Li0.49 H0.48,229.33,0.3079
ucb+falsify,30,ambient,35,30,60.3681,Li0.62 H0.38,343.73,0.3386
ucb+falsify,31,ambient,35,28,175.3212,Ca0.38 S0.21 H0.42,254.13,0.3181
ucb+falsify,32,ambient,35,29,143.4422,Ce0.33 Li0.17 H0.50,280.72,0.3000
ucb+falsify,33,ambient,35,30,237.7575,La0.22 S0.32 H0.45,330.76,0.3019
ucb+falsify,34,ambient,35,31,147.0919,Ca0.50 H0.50,215.14,0.3098
ucb+falsify,35,ambient,35,32,142.0138,Mg0.42 Ca0.08 H0.50,198.25,0.3017
ucb+falsify,36,ambient,35,31,282.5921,C0.12 Li0.40 H0.48,148.14,0.3006
ucb+falsify,37,ambient,35,35,241.1540,S0.25 Ca0.30 H0.45,321.09,0.3221
ucb+falsify,38,ambient,35,29,232.5723,S0.19 Li0.34 H0.46,302.94,0.3047
ucb+falsify,39,ambient,35,32,246.3333,Ce0.33 S0.18 H0.49,103.59,0.3193
ucb+falsify,40,ambient,35,33,118.4485,Ca0.51 H0.49,485.78,0.2994
ucb+falsify,41,ambient,35,31,147.4980,Li0.52 H0.48,28.28,0.3007
ucb+falsify,42,ambient,35,25,150.6594,Li0.53 H0.47,263.69,0.2952
ucb+falsify,43,ambient,35,29,152.9990,S0.41 La0.12 H0.47,459.13,0.3006
ucb+falsify,44,ambient,35,30,191.9347,S0.21 Mg0.34 H0.44,254.86,0.2977
ucb+falsify,45,ambient,35,28,236.8735,Li0.33 S0.20 H0.46,375.99,0.2935
ucb+falsify,46,ambient,35,31,236.3027,Ca0.30 S0.24 H0.46,82.78,0.2929
ucb+falsify,47,ambient,35,29,51.1360,B0.04 Ce0.13 H0.83,380.22,0.2936
ucb+falsify,48,ambient,35,29,158.3361,Mg0.47 C0.04 H0.49,122.58,0.2960
ucb+falsify,49,ambient,35,28,212.7556,Li0.39 S0.13 H0.48,68.82,0.2951
ucb+falsify,50,ambient,35,32,214.4158,La0.24 S0.34 H0.42,293.03,0.2993
ucb+inverse,1,ambient,35,32,128.8283,Mg0.37 Li0.15 H0.48,25.23,1.7331
ucb+inverse,2,ambient,35,28,154.4944,Li0.41 Ce0.10 H0.49,406.05,1.7057
ucb+inverse,3,ambient,35,31,252.0994,C0.05 Li0.47 H0.48,101.16,1.8027
ucb+inverse,4,ambient,35,28,40.6183,Ce0.14 H0.86,462.82,1.6649
ucb+inverse,5,ambient,35,30,247.6241,S0.10 Ca0.40 H0.50,477.82,1.7742
ucb+inverse,6,ambient,35,33,225.3350,S0.33 Y0.22 H0.45,92.46,1.8080
ucb+inverse,7,ambient,35,32,266.3953,C0.24 Li0.25 H0.51,33.06,1.7831
ucb+inverse,8,ambient,35,33,248.5738,C0.08 Li0.41 H0.51,306.91,1.8107
